Group,Side,Target,Date
itarmyofukraine2022,PRO-UA,rt.com,2022-10-13 07:00:07
itarmyofukraine2022,PRO-UA,finam.ru,2022-10-12 08:00:10
itarmyofukraine2022,PRO-UA,solidbroker.ru,2022-10-12 08:00:10
itarmyofukraine2022,PRO-UA,banki.ru,2022-10-12 08:00:10
itarmyofukraine2022,PRO-UA,finam.ru,2022-10-12 08:00:10
itarmyofukraine2022,PRO-UA,solidbroker.ru,2022-10-12 08:00:10
itarmyofukraine2022,PRO-UA,banki.ru,2022-10-12 08:00:10
itarmyofukraine2022,PRO-UA,https://odkb-csto.org,2022-10-07 11:06:39
itarmyofukraine2022,PRO-UA,https://antiterror.odkb-csto.org,2022-10-07 11:06:39
itarmyofukraine2022,PRO-UA,https://en.odkb-csto.org,2022-10-07 11:06:39
itarmyofukraine2022,PRO-UA,https://jscsto.odkb-csto.org,2022-10-07 11:06:39
itarmyofukraine2022,PRO-UA,https://kkc.odkb-csto.org,2022-10-07 11:06:39
itarmyofukraine2022,PRO-UA,https://ksbnm.odkb-csto.org,2022-10-07 11:06:39
itarmyofukraine2022,PRO-UA,https://kschs.odkb-csto.org,2022-10-07 11:06:39
itarmyofukraine2022,PRO-UA,https://ksgn.odkb-csto.org,2022-10-07 11:06:39
itarmyofukraine2022,PRO-UA,https://ksopn.odkb-csto.org,2022-10-07 11:06:39
itarmyofukraine2022,PRO-UA,https://mkves.odkb-csto.org,2022-10-07 11:06:39
itarmyofukraine2022,PRO-UA,https://web.archive.org/web/20221007110835/https://odkb-csto.org/,2022-10-07 11:06:39
itarmyofukraine2022,PRO-UA,www.garsing.ru,2022-09-21 12:47:02
itarmyofukraine2022,PRO-UA,ataman-23.ru,2022-09-21 12:47:02
itarmyofukraine2022,PRO-UA,alltactic.ru,2022-09-21 12:47:02
itarmyofukraine2022,PRO-UA,stich.su,2022-09-21 12:47:02
itarmyofukraine2022,PRO-UA,voenrus.ru,2022-09-21 12:47:02
itarmyofukraine2022,PRO-UA,www.ak47-shop.ru,2022-09-21 12:47:02
itarmyofukraine2022,PRO-UA,obereg124.ru,2022-09-21 12:47:02
